name,parent,locale,slug,slug_translation,description,meta_title,meta_keywords,meta_description,logo,banner,position,display_mode,visible_in_menu,filterable_attributes
Men,root,en,men,,"Explore our curated collection of men's clothing designed to elevate your style. From tailored suits to casual essentials, each piece exudes sophistication and quality craftsmanship, ensuring you look and feel your best.",Redefine Your Style with Sophisticated Men's Clothing,"Men's Clothing, Men's Fashion, Premium Men's Apparel","Elevate your wardrobe with our sophisticated men's clothing collection. Discover timeless pieces crafted from premium materials, tailored to perfection for the modern man who values style and quality.",men.webp,men_banner.webp,2,products_and_description,1,"size,color"
Hommes,root,fr,men,hommes,"Découvrez notre collection sélectionnée de vêtements pour hommes conçus pour rehausser votre style. Des costumes sur mesure aux essentiels décontractés, chaque pièce dégage sophistication et qualité artisanale, vous assurant de paraître et de vous sentir au mieux de votre forme.",Redéfinissez votre style avec des vêtements pour hommes sophistiqués,"Vêtements pour hommes, mode pour hommes, vêtements pour hommes de qualité supérieure","Rehaussez votre garde-robe avec notre collection sophistiquée de vêtements pour hommes. Découvrez des pièces intemporelles conçues à partir de matériaux haut de gamme, taillées à la perfection pour l'homme moderne qui valorise le style et la qualité.",,,2,products_and_description,1,"size,color"
Formal Wear,men,en,men-formal-wear,,"Explore a world of sophistication and style with our meticulously curated collection of formal wear for men. From classic suits to elegant tuxedos, each piece is tailored to perfection, ensuring you make a memorable statement at any formal event.",Elevate Your Style with Men Formal Wear,"Men Formal Wear, Suits for Men, Tuxedos, Formal Attire","Discover the epitome of elegance with our collection of men's formal wear. Whether it's a sharp suit or a sleek tuxedo, our pieces are designed to enhance your presence and leave a lasting impression at any formal occasion.",,,3,products_only,1,"size,color"
Tenue de soirée,men,fr,men-formal-wear,vêtements-habillés-pour-hommes,"Explorez un monde de sophistication et de style avec notre collection de vêtements formels pour hommes méticuleusement sélectionnée. Des costumes classiques aux élégants smokings, chaque pièce est taillée à la perfection, vous assurant de faire une déclaration mémorable lors de tout événement formel.",Rehaussez votre style avec des vêtements formels pour hommes,"Vêtements formels pour hommes, costumes pour hommes, smokings, tenue formelle","Découvrez l'apogée de l'élégance avec notre collection de vêtements formels pour hommes. Qu'il s'agisse d'un costume élégant ou d'un smoking élégant, nos pièces sont conçues pour rehausser votre présence et laisser une impression durable à toute occasion formelle.",,,3,products_only,1,"size,color"
Casual Wear,men,en,men-casual-wear,,"Elevate your everyday style effortlessly with our diverse range of men's casual wear. From laid-back tees to versatile jeans and cozy hoodies, our collection is designed to keep you looking and feeling your best on any occasion.",Men's Casual Wear: Effortless Style for Every Moment,"Men's casual wear, casual clothing for men, men's casual fashion, comfortable men's clothing, versatile men's wardrobe, casual outfits for men","Explore our selection of men's casual wear designed to elevate your style with ease. From comfortable tees and classic jeans to versatile hoodies, our collection offers everything you need to create effortlessly stylish looks for any moment.",,,4,description_only,1,"size,color"
Vêtements décontractés,men,fr,men-casual-wear,vêtements-décontractés-pour-hommes,"Rehaussez votre style quotidien sans effort avec notre gamme variée de vêtements décontractés pour hommes. Des t-shirts décontractés aux jeans polyvalents et aux sweat-shirts confortables, notre collection est conçue pour vous permettre de paraître et de vous sentir au mieux en toute occasion.",Vêtements décontractés pour hommes : Style sans effort pour chaque instant,"Vêtements décontractés pour hommes, vêtements décontractés pour hommes, mode décontractée pour hommes, vêtements confortables pour hommes, garde-robe polyvalente pour hommes, tenues décontractées pour hommes","Découvrez notre sélection de vêtements décontractés pour hommes conçus pour rehausser votre style avec facilité. Des t-shirts confortables et des jeans classiques aux sweats à capuche polyvalents, notre collection offre tout ce dont vous avez besoin pour créer des looks sans effort et élégants pour n'importe quel moment.",,,4,description_only,1,"size,color"
Active Wear,men,en,men-active-wear,,"Gear up for action-packed days with our cutting-edge men's active wear collection. Crafted from high-performance fabrics and engineered for comfort and style, our range is designed to empower you to push your limits and conquer any challenge.",Men's Active Wear: Unleash Your Potential with Performance and Style,"Men's active wear, performance clothing for men, athletic apparel for men, men's gym wear, sportswear for men, workout clothes for men",Unlock your full potential with our premium men's active wear designed for performance and style. Explore our collection of high-quality athletic apparel crafted from advanced fabrics to keep you comfortable and focused during every workout or activity.,,,5,products_and_description,1,"size,color"
Vêtements de sport,men,fr,men-active-wear,vêtements-actifs-pour-hommes,"Préparez-vous pour des journées pleines d'action avec notre collection de vêtements de sport pour hommes de pointe. Fabriquée à partir de tissus haute performance et conçue pour le confort et le style, notre gamme est conçue pour vous permettre de repousser vos limites et de relever tous les défis.",Vêtements de sport pour hommes : libérez votre potentiel avec performance et style,"Vêtements de sport pour hommes, vêtements de performance pour hommes, vêtements de sport pour hommes, vêtements de gym pour hommes, vêtements de sport pour hommes, vêtements d'entraînement pour hommes",Débloquez tout votre potentiel avec nos vêtements de sport pour hommes de qualité supérieure conçus pour la performance et le style. Explorez notre collection de vêtements de sport de haute qualité confectionnés à partir de tissus avancés pour vous garder confortable et concentré lors de chaque séance d'entraînement ou activité.,,,5,products_and_description,1,"size,color"
Footwear,men,en,men-footwear,,"Step into style and comfort with our sophisticated collection of men's footwear. From timeless classics to contemporary designs, each pair is crafted with premium materials and attention to detail, ensuring unparalleled quality and comfort with every step.",Men's Footwear: Walk in Style and Comfort with Our Premium Collection,"Men's footwear, men's shoes, men's boots, stylish men's footwear, comfortable men's shoes, premium men's footwear","Elevate your look with our diverse range of men's footwear, crafted for both style and comfort. Explore our collection of shoes and boots designed with premium materials and impeccable craftsmanship, ensuring you walk with confidence and sophistication.",,,6,products_only,1,"size,color"
Chaussures,men,fr,men-footwear,chaussures-pour-hommes,"Entrez dans le style et le confort avec notre collection sophistiquée de chaussures pour hommes. Des classiques intemporels aux designs contemporains, chaque paire est conçue avec des matériaux de qualité supérieure et une attention particulière aux détails, garantissant une qualité et un confort inégalés à chaque pas.",Chaussures pour hommes : marchez avec style et confort avec notre collection premium,"chaussures pour hommes, chaussures pour hommes, bottes pour hommes, chaussures élégantes pour hommes, chaussures confortables pour hommes, chaussures haut de gamme pour hommes","Rehaussez votre look avec notre gamme diversifiée de chaussures pour hommes, conçue pour le style et le confort. Explorez notre collection de chaussures et de bottes conçues avec des matériaux de qualité et un savoir-faire impeccable, garantissant que vous marchez avec confiance et sophistication.",,,6,products_only,1,"size,color"
Women,root,en,women,,"Step into sophistication with our curated collection of women's clothing. From chic dresses to versatile separates, each piece is designed to empower and inspire, blending timeless elegance with contemporary flair.",Embrace Timeless Elegance with Our Women's Clothing Collection,"Women's Clothing, Fashion for Women, Stylish Women's Apparel","Elevate your wardrobe with our women's clothing collection, where sophistication meets versatility. Discover exquisite pieces crafted from premium materials, tailored to enhance your unique style and confidence.",women.webp,women_banner.webp,7,description_only,1,"size,color"
